"NOMBRE DE LA INSTALACIÓN",FUENTE,TIPO,"FECHA DE DOCUMENTACIÓN","ESTADO ACTUAL","FECHA DE CONSTRUCCIÓN"
"BATERIA DE SEPARACION TEJADA",CONTRATISTA,"BATERIA DE SEPARACION",2018/10/01,OPERANDO,
"BATERIA DE SEPARACION COYOL 1",CONTRATISTA,"BATERIA DE SEPARACION",2018/08/23,"FUERA DE OPERACION",
"ESTACION DE CALENTAMIENTO CHILA-20",CONTRATISTA,"ESTACION DE CALENTAMIENTO",2018/06/11,OPERANDO,
"ESTACION DE RECOLECCION DE GAS Y CONDENSADO ARCABUZ NORTE 1",CONTRATISTA,"ESTACION DE RECOLECCION DE GAS Y CONDENSADO",2018/08/09,OPERANDO,2009/03/05
"ESTACION DE RECOLECCION ARCABUZ NORTE 2",CONTRATISTA,"ESTACION DE RECOLECCION",2018/02/14,"FUERA DE OPERACION TEMPORAL",
"ESTACION DE RECOLECCION DE GAS BENAVIDES 1",CONTRATISTA,"ESTACION DE RECOLECCION",2017/01/20,OPERANDO,
"ESTACION DE RECOLECCION DE GAS DUNA 1",CONTRATISTA,"ESTACION DE RECOLECCION",2017/04/07,"FUERA DE OPERACION",
"ESTACION DE RECOLECCION DE GAS Y CONDENSADO CALI 1",CONTRATISTA,"ESTACION DE RECOLECCION DE GAS Y CONDENSADO",2018/08/09,OPERANDO,2009/09/08
"ESTACION DE RECOLECCION DE GAS Y CONDENSADO SANTA ANITA 2",CONTRATISTA,"ESTACION DE RECOLECCION DE GAS Y CONDENSADO",2018/08/09,OPERANDO,2012/02/15
"ESTACION DE RECOLECCION DE GAS Y CONDENSADO MISION 2",CONTRATISTA,"ESTACION DE RECOLECCION DE GAS Y CONDENSADO",2018/08/09,OPERANDO,2010/12/12
"ESTACION DE RECOLECCION DE GAS RICOS 1",CONTRATISTA,"ESTACION DE RECOLECCION",2017/05/05,OPERANDO,
"ESTACION DE RECOLECCION DE GAS Y CONDENSADO TRONCON 2",CONTRATISTA,"ESTACION DE RECOLECCION DE GAS Y CONDENSADO",2018/08/09,OPERANDO,2006/03/10
"ESTACION DE RECOLECCION DE GAS MAREOGRAFO 1",CONTRATISTA,"ESTACION DE RECOLECCION",2017/02/01,OPERANDO,
"ESTACION DE RECOLECCION DE GAS SAN BERNARDO 1",CONTRATISTA,"ESTACION DE RECOLECCION",2017/05/15,"FUERA DE OPERACION DEFINITIVA",
"ESTACION DE RECOLECCION CUAUHTEMOC 1",CONTRATISTA,"ESTACION DE RECOLECCION",2018/10/03,"FUERA DE OPERACION TEMPORAL",
"MODULO CALIBRADOR 1",CONTRATISTA,MODULO,2017/02/10,OPERANDO,
"ESTACION DE RECOLECCION EBANO 4",CONTRATISTA,"ESTACION DE RECOLECCION",2018/03/16,OPERANDO,
"ESTACION RECOLECCION CORCOVADO AGUILA 5",CONTRATISTA,"ESTACION DE RECOLECCION",2018/03/16,OPERANDO,
"ESTACION DE RECOLECCION ESCUDO NACIONAL 1",CONTRATISTA,"ESTACION DE RECOLECCION",2019/03/15,OPERANDO,
"ESTACION DE RECOLECCION LAS FLORES",CONTRATISTA,"ESTACION DE RECOLECCION",2018/03/16,OPERANDO,
"ESTACION DE RECOLECCION RAYA 5",CONTRATISTA,"ESTACION DE RECOLECCION",2019/03/15,OPERANDO,
"ESTACION SATELITE 1 LAS FLORES",CONTRATISTA,"ESTACION SATELITE",2019/03/15,OPERANDO,
"ESTACION SATELITE 2 LAS FLORES",CONTRATISTA,"ESTACION SATELITE",2019/03/15,OPERANDO,
"ESTACION SATELITE 3 LAS FLORES",CONTRATISTA,"ESTACION SATELITE",2019/03/15,OPERANDO,
"ESTACION SATELITE 4 LAS FLORES",CONTRATISTA,"ESTACION SATELITE",2019/03/15,OPERANDO,
"ESTACION SATELITE 1 ESCUDO NACIONAL",CONTRATISTA,"ESTACION SATELITE",2019/03/15,OPERANDO,
"BATERIA DE SEPARACION COYOL 2",CONTRATISTA,"BATERIA DE SEPARACION",2018/08/23,OPERANDO,
"BATERIA DE SEPARACION HUMAPA 4",CONTRATISTA,"BATERIA DE SEPARACION",2018/08/23,"FUERA DE OPERACION",
"MODULO MAREOGRAFO 106",CONTRATISTA,MODULO,2017/02/01,OPERANDO,2008/01/01
"CABEZAL ZAPOTALILLO",CONTRATISTA,"CABEZAL DE RECOLECCION",2018/10/01,OPERANDO,
"BATERIA DE SEPARACION ZAPOTALILLO",CONTRATISTA,"BATERIA DE SEPARACION",2018/10/01,OPERANDO,
"ESTACION DE COMPRESION TEJADA",CONTRATISTA,"ESTACION DE COMPRESION",2018/10/01,"FUERA DE OPERACION",
"ESTACION DE MEDICION ENTRONQUE QUITRIN",CONTRATISTA,"ESTACION DE MEDICION",2018/02/14,OPERANDO,
"ESTACION DE RECOLECCION MISION 3 (SITIO)",CONTRATISTA,"ESTACION DE RECOLECCION",2018/02/14,OPERANDO,
"ESTACION DE RECOLECCION TUCURA 1 (SITIO)",CONTRATISTA,"ESTACION DE RECOLECCION",2018/02/14,OPERANDO,
"ESTACION DE RECOLECCION TRAPICHE 1",CONTRATISTA,"ESTACION DE RECOLECCION",2018/02/14,"FUERA DE OPERACION TEMPORAL",
"ESTACION DE RECOLECCION DE GAS Y CONDENSADO CAMARGO 1",CONTRATISTA,"ESTACION DE RECOLECCION DE GAS Y CONDENSADO",2018/08/09,OPERANDO,2007/10/22
"ESTACION DE RECOLECCION DE GAS Y CONDENSADO TINTA 2",CONTRATISTA,"ESTACION DE RECOLECCION DE GAS Y CONDENSADO",2018/08/09,OPERANDO,2008/01/09
"MODULO RICOS 37",CONTRATISTA,"MODULO DE RECOLECCION",2017/05/05,"FUERA DE OPERACION",
"MODULO RICOS 7",CONTRATISTA,"MODULO DE RECOLECCION DE GAS",2017/05/05,"FUERA DE OPERACION",
"BATERIA DE SEPARACION CUICHAPA 2",CONTRATISTA,"BATERIA DE SEPARACION",2017/04/12,OPERANDO,
"PLANTA DE INYECCION DE AGUA CUICHAPA",CONTRATISTA,"PLANTA DE INYECCION DE AGUA",2017/04/12,OPERANDO,
"ESTACION DE COMPRESION CUICHAPA",CONTRATISTA,"ESTACION DE COMPRESION",2017/03/27,OPERANDO,
"ESTACION DE RECOLECCION FORTUNA NACIONAL",CONTRATISTA,"ESTACION DE RECOLECCION",2017/02/02,"PARCIALMENTE DESMANTELADA",
