"NOMBRE DE LA INSTALACIÓN",FUENTE,TIPO,"FECHA DE DOCUMENTACIÓN","ESTADO ACTUAL","FECHA DE CONSTRUCCIÓN"
"ESTACION DE RECOLECCION JAUJAL 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION VELERO 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION VELERO 2","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION ENLACE 2","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION STA. ROSALIA 4","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION ARCABUZ 4","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION ARCABUZ 4","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION CULEBRA 3","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION ARCABUZ 1A","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION ARCABUZ 3","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION ARCABUZ 3A","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION ARCABUZ 5","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION RODEO 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION CULEBRA 3A","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION STA. ROSALIA 3","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION STA. ROSALIA 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION STA. ROSALIA 2","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION SULTAN 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION GALIA 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION CANON 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION CANON 2","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION REYNOSA 19 F/O","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION REYNOSA 20 F/O","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE MEDICION KM.19","TRANSFERENCIA HISTORICA","ESTACION DE MEDICION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION REYNOSA 14 F/O","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION REYNOSA 15 (FOT)","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION REYNOSA 16 (FOT)","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION CULEBRA 9","DOCUMENTOS DE SOPORTE","ESTACION DE COMPRESION Y RECOLECCION DE GAS",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION CULEBRA 2","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION CULEBRA 2A","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION DE GAS",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION CULEBRA 4","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION CULEBRA 4A","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION CULEBRA 5","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION CULEBRA 6","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION CULEBRA 8","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION CULEBRA 10","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION CULEBRA 11","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION CULEBRA 1","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION CULEBRA 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION CUERVITO 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2010/08/01,OPERANDO,
"ESTACION RECOLECCION CUERVITO 1A","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2010/08/01,OPERANDO,
"ESTACION RECOLECCION FRONTERIZO 1 (COPF)","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION FRONTERIZO 2","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION MOJARRENAS 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION MOJARRENAS 3-A","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION MOJARRENAS 4","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION RECOLECCION PAMORANA 1A","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2010/08/01,OPERANDO,
"ESTACION DE COMPRESION SIERRITA-CUERVITO",REFERENCIAS,"ESTACION DE COMPRESION",2010/08/01,OPERANDO,
"ESTACION DE RECOLECCION TOPO 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION TOPO 2 (COPF)","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION VIBORITAS 2","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION 4 MILPAS 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION MOJARRENAS 2","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION PICADILLO 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION COMITAS 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION CAUDALOSO 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION SIGMA 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION SIGMA 2","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION RECOLECCION PASCUALITO 1 (COPF)","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION REYNOSA 18 (COPF","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION CUITLAHUAC 4","VERIFICADO POR PEMEX","ESTACION DE RECOLECCION",2020/09/23,OPERANDO,
"ESTACION DE RECOLECCION TORRECILLAS 1","VERIFICADO POR PEMEX","ESTACION DE RECOLECCION",2020/09/23,OPERANDO,
"ESTACION DE COMPRESION REYNOSA 1","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION REYNOSA 1 (COPF)","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION REYNOSA 5","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION REYNOSA 9 (COPF)","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION REYNOSA 10","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION REYNOSA 11 (COPF","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"CENTRAL ALM. Y BOMBEO BATERIA MONTERREY","TRANSFERENCIA HISTORICA","CENTRAL ALMACENAMIENTO Y BOMBEO",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION OASIS 2","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION PANDURA 1","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION PANDURA 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION OASIS 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION 4 MILPAS 2","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION CUITLAHUAC 2  FOT","VERIFICADO POR PEMEX","ESTACION DE COMPRESION",2020/09/23,OPERANDO,
"ESTACION DE RECOLECCION CUITLAHUAC 1","VERIFICADO POR PEMEX","ESTACION DE RECOLECCION",2020/09/23,OPERANDO,
"ESTACION DE RECOLECCION CUITLAHUAC 2","VERIFICADO POR PEMEX","ESTACION DE RECOLECCION",2020/09/23,OPERANDO,
"ESTACION DE RECOLECCION CUITLAHUAC 3","VERIFICADO POR PEMEX","ESTACION DE RECOLECCION",2020/09/23,OPERANDO,
"ESTACION DE RECOLECCION CUITLAHUAC 5","VERIFICADO POR PEMEX","ESTACION DE RECOLECCION",2020/09/23,OPERANDO,
"ESTACION DE RECOLECCION CUITLAHUAC 6","VERIFICADO POR PEMEX","ESTACION DE RECOLECCION",2020/09/23,OPERANDO,
"ESTACION DE RECOLECCION CUITLAHUAC 7","VERIFICADO POR PEMEX","ESTACION DE RECOLECCION",2020/09/23,OPERANDO,
"ESTACION DE RECOLECCION OROZCO 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION OPORTO 1 (COPF)","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION NEJO 3 (COPF)","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION CONSTITUCIONES 10","VERIFICADO POR PEMEX","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,1972/01/01
"PLANTA INY. AGUA ORIGEN CONGENITO TAM-CO","TRANSFERENCIA HISTORICA","PLANTA DE INYECCION DE AGUA",2016/08/11,DESCONOCIDO,
"ESTACION RECOLECCION BUENA SUERTE 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION MONCLOVA 2 (COPF","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION MONCLOVA 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION CORINDON 1A","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION CORINDON 2A","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION PANDURA 2","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION CABEZA 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION PALMITO 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION HUIZACHE 1 (COPF","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION CONSTITUCIONES 1","VERIFICADO POR PEMEX","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,1956/01/01
"BATERIA DE SEPARACION CONSTITUCIONES 2","VERIFICADO POR PEMEX","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,1956/01/01
"BATERIA DE SEPARACION CONSTITUCIONES 5","VERIFICADO POR PEMEX","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,1966/01/01
"BATERIA DE SEPARACION CONSTITUCIONES 6","VERIFICADO POR PEMEX","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,1968/01/01
"BATERIA DE SEPARACION CONSTITUCIONES 7","VERIFICADO POR PEMEX","BATERIA DE SEPARACION",2020/10/31,OPERANDO,1970/01/01
"BATERIA DE SEPARACION CONSTITUCIONES 8","VERIFICADO POR PEMEX","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,1958/01/01
"BATERIA DE SEPARACION TAMAULIPAS 1","VERIFICADO POR PEMEX","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,1956/01/01
"BATERIA DE SEPARACION TAMAULIPAS 3","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,1958/01/01
"BATERIA DE SEPARACION TAMAULIPAS 4","VERIFICADO POR PEMEX","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,1960/01/01
"BATERIA DE SEPARACION TAMAULIPAS 5","VERIFICADO POR PEMEX","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,1956/01/01
"BATERIA DE SEPARACION TAMAULIPAS 6","VERIFICADO POR PEMEX","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,1958/01/01
"BATERIA DE SEPARACION TAMAULIPAS 7","VERIFICADO POR PEMEX","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,1960/01/01
"ESTACION DE COMPRESION TAMAULIPAS 3","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2020/10/31,OPERANDO,1975/01/01
"CENTRAL DE ALMAC. Y BOMBEO ARENQUE","TRANSFERENCIA HISTORICA","CENTRAL ALMACENAMIENTO Y BOMBEO",2016/08/11,DESCONOCIDO,
"PLANTA DE INYECCION DE AGUA TAMAULIPAS-C","VERIFICADO POR PEMEX","PLANTA DE INYECCION DE AGUA CONGENITA",2020/10/31,OPERANDO,
"CENTRAL DE ALMACENAMINETO Y BOMBEO TAMAULIPAS","TRANSFERENCIA HISTORICA","CENTRAL ALMACENAMIENTO Y BOMBEO",2016/08/11,DESCONOCIDO,
"PLATAFORMA PERFORACION ARENQUE B","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"PLATAFORMA PERFORACION ARENQUE C","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION NEJO 1 (COPF)","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION NEJO 2 (COPF)","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION RANCHO NUEVO","VERIFICADO POR PEMEX","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,1977/01/01
"CENTRAL DE ALMAC. Y BOMBEO TAJIN","DOCUMENTOS DE SOPORTE","CENTRAL ALMACENAMIENTO Y BOMBEO",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION SAN DIEGO","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION POTRERO DEL LLANO","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION SOLIS","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION TOTECO","TRANSFERENCIA HISTORICA",BATERIA,2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION TIERRA AMARILLA","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"PLATAFORMA SATELITE PERFORACION CARPA B","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"PLATAFORMA SATELITE PERFORACION MARSOPA","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION AMATLAN","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION JUAN CASIANO","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION ZACAMIXTLE AGUILA","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION TRES HERMANOS 1","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION TRES HERMANOS 2","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION TRES HERMANOS 3","DOCUMENTOS DE SOPORTE","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION TRES HERMANOS 4","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"PLANTA DESHIDRATADORA NARANJOS","TRANSFERENCIA HISTORICA","PLANTA DESHIDRATADORA",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION PERDIZ","TRANSFERENCIA HISTORICA",BATERIA,2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION ZACAMIXTLE 19","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION TEMAPACHE","TRANSFERENCIA HISTORICA",BATERIA,2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION AGUACATE","VERIFICADO POR PEMEX","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,2008/01/01
"BATERIA DE SEPARACION TEPETATE","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"PLATAFORMA PERFORACION ARENQUE A","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"PLATAFORMA PERFORACION LOBINA","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION JAPETO I","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION COAPECHACA II","VERIFICADO POR PEMEX","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,2009/07/01
"BATERIA DE SEPARACION TAJIN I","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION TAJIN II","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION TAJIN III","VERIFICADO POR PEMEX","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,1973/01/01
"BATERIA DE SEPARACION TAJIN IV","VERIFICADO POR PEMEX","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,2004/09/01
"ESTACION DE COMPRESION TAJIN I","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION POZA RICA II","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION POZA RICA 2","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION MECATEPEC","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"EPMG EL RAUDAL","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"PLATAFORMA SATELITE PERFORACION LANKAHUA","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION SOLEDAD NORTE","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION SOLEDAD NTE MOD 1","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION SOLEDAD NTE MOD 2","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION SOLEDAD NTE MOD 3","TRANSFERENCIA HISTORICA",BATERIA,2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION PALO BLANCO","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION SOLEDAD NORTE MOD I","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION SOLEDAD II","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION SOLEDAD II","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION TIERRA BLANCA","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION SOLEDAD NTE","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"CENTRAL DE BOMBEO AGUA NACIDA","TRANSFERENCIA HISTORICA",BATERIA,2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION SOLEDAD NTE MOD 4","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION TAJIN II","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION HORCON","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION MURO","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"PLATAFORMA SATELITE PERFORACION ATUN B","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"PLATAFORMA SATELITE PERFORACION BAGRE A","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"PLATAFORMA SATELITE PERFORACION BAGRE B","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION COPITE (RENTADA)","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS COPITE","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION MATAPIONCHE 2","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION MATAPIONCHE 1","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION MATAPIONCHE 1","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION MECAYUCAN RENTADA","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS MECAYUCAN","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS PLAYUELA","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE MEDICION PIEDRAS NEGRAS","TRANSFERENCIA HISTORICA","ESTACION DE MEDICION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS Y COMPRESION PAPAN","DOCUMENTOS DE SOPORTE","ESTACION DE RECOLECCION Y COMPRESION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION ANGOSTURA","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS APERTURA","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION ACUATEMPA","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,1955/01/01
"BATERIA DE SEPARACION COPAL","TRANSFERENCIA HISTORICA",BATERIA,2016/08/11,DESCONOCIDO,
