,CVEGEO,CARR-KM,LINCARR,RED-KM,LINRED,AREAKM ,DENSCARR,DENSRED,Num_thefts,_merge
44,05013,44.01212904,8,0.95359577,17,1129.8,0.03895568157195964,0.0008440394494600814,0.0,left_only
45,05014,150.01468487999998,130,15.662790840000001,192,2200.93,0.06815968017156383,0.007116442067671394,0.0,left_only
46,05015,116.85809394,28,2.256813559999995,48,2458.14,0.047539234518782496,0.0009180980578811602,0.0,left_only
47,05016,3.2812125,2,1.8555023299999998,17,673.36,0.0048728948853510754,0.0027555873975288105,0.0,left_only
48,05017,282.19872686,482,105.91479508,1035,806.04,0.35010511495707414,0.13140141318048734,0.0,left_only
49,05018,96.25186307000001,161,105.95113611000001,1211,1251.51,0.07690858488545838,0.08465864124937077,2.0,both
50,05019,46.86677986,52,30.88062864,173,639.15,0.07332673059532191,0.0483151508096691,0.0,left_only
51,05020,282.59219214,116,123.36192374,529,8288.44,0.03409473823059587,0.014883611842518012,0.0,left_only
52,05021,44.97634781,50,12.711756520000003,150,716.57,0.06276616075191536,0.017739727479520497,0.0,left_only
53,05022,191.87959798,145,93.09459773,400,907.94,0.21133510802475933,0.10253386537656674,0.0,left_only
54,05023,169.57583991,43,813.62514249,252,26024.42,0.006516027635198019,0.0312639106842727,0.0,left_only
55,05024,371.04234125,199,561.70681723,760,10620.62,0.03493603398389171,0.05288832640938099,14.0,both
56,05025,64.78903537,78,100.92184325999999,711,474.43,0.13656184341209449,0.21272230520835525,0.0,left_only
57,05026,158.87420353,78,45.85923874,103,2886.52,0.05504004944708507,0.015887379522747117,0.0,left_only
58,05027,418.94397248,414,401.02814350999995,853,6754.4,0.062025342366457424,0.05937287449810493,12.0,both
59,05028,193.03973421,113,51.35155420000002,464,1976.26,0.09767932064100877,0.02598420966876829,0.0,left_only
60,05029,14.17751114,5,2.0952881999999993,22,289.37,0.048994405570722606,0.007240861872343364,0.0,left_only
61,05030,383.0563338,339,872.4347289299999,3589,5619.58,0.06816458415041694,0.15524909849668478,1.0,both
62,05031,72.26082154000001,72,36.89498646999999,305,6443.05,0.011215312862697016,0.005726323165271104,0.0,left_only
63,05032,46.32363325,54,41.54930845,378,802.4,0.057731347519940183,0.05178129168743768,0.0,left_only
64,05033,451.61347895999995,451,210.17550863000005,1123,7143.94,0.06321630346279504,0.029420111119354313,3.0,both
65,05034,54.4588502,26,262.30747264,145,7921.73,0.006874615797306902,0.03311239749903115,0.0,left_only
66,05035,179.21220305,491,334.40461557,3349,1282.73,0.1397115550817397,0.26069758684212574,0.0,left_only
67,05036,275.05238780999997,224,78.26613258000003,363,4401.76,0.062486911555832206,0.017780645146486865,0.0,left_only
68,05037,61.44655504,28,32.89347779,112,1854.53,0.03313322245528517,0.017736827007381925,0.0,left_only
69,05038,80.44555555999999,62,82.10630567000001,168,7938.74,0.010133290114048324,0.010342485793715377,0.0,left_only
70,06001,123.73978998,308,104.5301102,1044,408.8,0.3026902886007828,0.25569987818003914,0.0,left_only
71,06002,232.99557190000002,470,177.13484469999997,1943,746.0,0.31232650388739946,0.2374461725201072,0.0,left_only
72,06003,74.5518603,171,84.93799944000001,476,314.34,0.23716949895018136,0.27021059820576454,0.0,left_only
73,06004,63.768673820000004,143,88.38128702000002,614,526.99,0.12100547224805025,0.16770960932845028,0.0,left_only
74,06005,131.25571220999998,328,45.72990204000001,681,412.26,0.3183809057633532,0.1109249067093582,0.0,left_only
75,06006,65.29160914,67,38.064037639999995,200,376.76,0.17329761423718018,0.10102993322008705,0.0,left_only
76,06007,280.45115498,699,302.64945452,3388,1356.55,0.20673853155431057,0.22310232171316946,0.0,left_only
77,06008,60.405082369999995,122,89.32748988,355,414.9,0.1455894971559412,0.21529884280549533,0.0,left_only
78,06009,247.48829628000001,484,198.59257126,1702,937.9,0.263874929395458,0.21174173287130824,0.0,left_only
79,06010,49.50091777,134,116.15806832,1081,288.01,0.17187221891600987,0.40331262220061803,0.0,left_only
80,07001,32.73657043,40,50.94352669999999,162,248.04,0.13198101286082892,0.20538431986776323,0.0,left_only
81,07002,66.34919552,37,19.117197880000006,130,481.14,0.13789997821839797,0.03973312940100596,0.0,left_only
82,07003,78.15603982,95,98.02914207999999,221,559.8,0.1396142190425152,0.17511458035012503,0.0,left_only
83,07004,33.061929709999994,16,137.27981079000003,283,955.11,0.03461583452167812,0.14373193746270066,0.0,left_only
84,07005,35.83014601,30,63.252125469999996,119,315.93,0.11341166084259172,0.20020930418130597,0.0,left_only
85,07006,50.662455869999995,60,66.29900090000001,213,253.57,0.19979672622944353,0.26146232164688255,0.0,left_only
86,07007,24.547236140000003,29,9.399109109999998,86,152.09,0.16139940916562562,0.06179965224538101,0.0,left_only
87,07008,40.5134147,46,76.48172123999998,141,581.51,0.06966933449123833,0.1315226242712937,0.0,left_only
88,07009,106.11833195000001,144,80.50421984999998,410,807.75,0.13137521751779635,0.0996647723305478,0.0,left_only
89,07010,8.069490179999999,14,24.82234102,72,78.72,0.1025087675304878,0.31532445401422765,0.0,left_only
90,07011,41.48456561,26,56.140758309999995,112,213.72,0.19410708221036868,0.2626836903892944,0.0,left_only
91,07012,48.01050557,58,77.53205358999999,240,351.97,0.13640510716822454,0.22028028976901437,0.0,left_only
92,07013,74.95533261,90,50.566353109999994,204,365.21,0.20523899293557132,0.13845829279044933,0.0,left_only
93,07014,50.762091059999996,108,26.258299040000004,154,159.15,0.3189575310084825,0.16499088306628967,0.0,left_only
94,07015,42.94299624,55,35.303152909999994,182,174.16,0.24657209600367477,0.20270528772393198,0.0,left_only
95,07016,75.91780493,73,45.37989753,228,629.73,0.12055611917806044,0.0720624672955076,0.0,left_only
96,07017,139.01771166,80,147.78782384,291,2440.46,0.05696373292739893,0.060557363710120216,0.0,left_only
97,07018,22.347068309999997,8,18.61887559,54,155.01,0.14416533326882136,0.1201140287078253,0.0,left_only
98,07019,190.2678694,208,92.41525259999997,644,977.84,0.1945797568109302,0.09450958500368155,0.0,left_only
99,07020,139.20261428999999,87,134.47095212000002,213,2571.82,0.054126110804799704,0.05228630002099681,0.0,left_only
