CLAVE_ESTADO,ID,year,MES,MES_NUM,CLAVE_MUNICIPIO,MILITAR_MUERTO_NUM,MILITAR_HERIDO_NUM,AGRESOR_MUERTO_NUM,AGRESOR_HERIDO_NUM,AGRESOR_DETENIDO_NUM,enfren
28,1621,2011,agosto,8,28032,0,0,0,0,0,1
28,2957,2013,abril,4,28035,0,0,0,0,0,1
28,1701,2011,septiembre,9,28027,0,0,2,0,0,1
28,1088,2011,febrero,2,28022,0,0,2,0,0,1
28,1120,2011,febrero,2,28027,0,0,0,0,0,1
28,3603,2015,febrero,2,28040,0,0,5,0,0,1
28,4544,2019,marzo,3,28027,0,0,0,0,0,1
28,1249,2011,abril,4,28027,0,0,3,0,0,1
28,3468,2014,julio,7,28032,0,0,0,0,0,1
28,755,2010,agosto,8,28027,0,0,0,0,0,1
28,2484,2012,agosto,8,28027,0,1,1,0,0,1
28,524,2010,abril,4,28035,0,0,1,1,5,1
28,2823,2013,enero,1,28025,0,0,0,0,2,1
28,2989,2013,mayo,5,28001,0,0,0,0,0,1
28,3890,2016,octubre,10,28027,1,1,3,1,2,1
28,1718,2011,septiembre,9,28027,0,0,3,0,0,1
28,4041,2017,junio,6,28033,0,0,2,0,0,1
28,3141,2013,septiembre,9,28027,0,0,0,0,0,1
28,2091,2012,febrero,2,28027,0,0,0,0,0,1
28,3627,2015,marzo,3,28040,0,0,3,0,0,1
28,2788,2012,diciembre,12,28012,0,0,0,0,0,1
28,4177,2017,noviembre,11,28025,0,0,0,0,0,1
28,545,2010,mayo,5,28040,0,0,0,1,1,1
28,3169,2013,octubre,10,28032,0,0,0,0,0,1
28,2641,2012,octubre,10,28027,0,1,1,0,0,1
28,4303,2018,abril,4,28014,0,0,0,1,3,1
28,2952,2013,abril,4,28032,0,0,1,0,0,1
28,717,2010,agosto,8,28032,0,3,4,0,0,1
28,531,2010,abril,4,28030,0,0,0,0,0,1
28,2939,2013,marzo,3,28035,0,0,2,0,0,1
28,838,2010,octubre,10,28027,0,3,5,0,0,1
28,1649,2011,agosto,8,28003,0,0,0,0,0,1
28,214,2009,mayo,5,28027,0,2,0,1,0,1
28,4276,2018,marzo,3,28022,0,1,0,0,0,1
28,3385,2014,abril,4,28024,0,0,1,0,2,1
28,2566,2012,septiembre,9,28032,0,0,0,0,0,1
28,2085,2012,febrero,2,28022,0,0,0,0,0,1
28,1576,2011,julio,7,28032,0,1,0,0,0,1
28,4287,2018,marzo,3,28032,0,0,1,0,0,1
28,2601,2012,septiembre,9,28027,0,1,0,0,0,1
28,2032,2012,enero,1,28022,0,0,0,0,0,1
28,359,2009,diciembre,12,28022,0,0,0,1,2,1
28,162,2009,febrero,2,28027,0,0,1,0,3,1
28,3928,2017,enero,1,28033,0,0,0,0,0,1
28,1930,2011,diciembre,12,28027,0,0,1,0,0,1
28,1780,2011,octubre,10,28027,0,3,0,0,0,1
28,1075,2011,febrero,2,28027,0,3,0,0,0,1
28,2746,2012,diciembre,12,28033,0,2,0,0,0,1
28,1707,2011,septiembre,9,28022,0,0,0,0,0,1
28,1069,2011,enero,1,28038,0,0,2,0,0,1
28,3577,2015,enero,1,28022,0,0,0,1,1,1
28,1494,2011,julio,7,28040,0,0,0,0,0,1
28,3180,2013,octubre,10,28003,0,0,0,0,0,1
28,4373,2018,agosto,8,28023,0,0,0,0,0,1
28,3481,2014,agosto,8,28022,0,0,1,0,0,1
28,1769,2011,octubre,10,28027,0,0,0,0,2,1
28,4645,2019,agosto,8,28025,0,0,2,1,1,1
28,868,2010,octubre,10,28032,0,0,1,0,0,1
28,2720,2012,noviembre,11,28032,0,1,0,0,0,1
28,4080,2017,julio,7,28033,0,1,1,2,2,1
28,2606,2012,octubre,10,28027,0,0,2,0,0,1
28,3314,2014,enero,1,28007,0,0,0,0,0,1
28,4534,2019,marzo,3,28027,0,1,1,0,0,1
28,2630,2012,octubre,10,28027,0,0,3,0,0,1
28,1682,2011,agosto,8,28024,0,0,1,0,0,1
28,3908,2016,noviembre,11,28025,0,0,2,0,1,1
28,2518,2012,agosto,8,28032,0,1,0,0,0,1
28,4333,2018,junio,6,28025,0,3,4,0,0,1
28,3323,2014,febrero,2,28027,0,1,0,0,0,1
28,719,2010,agosto,8,28027,0,0,1,0,0,1
