CLAVEGEO,"UBICACIÓN TÉCNICA",DENOMINACIÓN,SERVICIO,"ÊLTIMO ESTADO REPORTADO",ORIGEN,DESTINO,"DIÁMETRO EXTERNO (PLG) ","TIPO DE TUBERÍA","TIPO DE HIDROCARBURO","LONGITUD (KM)"
CGD0007432,PEP-NTE-BUR-CUL-445-LDD-L0541,"LDD CULEBRA 541- E CULEBRA 2  2""X1.884KM","LINEA DE DESCARGA",OPERANDO,"POZO CULEBRA 541","EST. CULEBRA 2",2,"ACERO AL CARBON","DULCE HUMEDO",1.884
CGD0002144,PEP-SUR-SML-SAM-D54-LBN-D1029,"LBN P SAM 102A-P SAM 811  4"" X 0.685 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"POZO SAMARIA 102-A","POZO SAMARIA 811",4,"ACERO AL CARBON",SECO,0.685
CGD0005984,PEP-NTE-BUR-PBA-442-LDD-L0127,"LDD 4 MILPAS 127-E 4 MILPAS 2 3""X2.928KM","LINEA DE DESCARGA",OPERANDO,"POZO CUATRO MILPAS 127","EST. CUATRO MILPAS 2",3,"ACERO AL CARBON","DULCE HUMEDO",2.928
CGD0012467,PEP-NTE-BUR-LMA-464-LDD-L0023,"LDD GIGANTE 23 - E GIGANTE 1  3""X1.499KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO GIGANTE 23","EST. GIGANTE 1",3,"ACERO AL CARBON","DULCE SECO",1.499
CGD0003668,PEP-SUR-CPT-CUM-A30-LDD-L1400,"LDD P MOL 1400-CAB P MOL 302 3""X0.371 km","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO MOLOACAN 1400","CABEZAL POZO MOLOACAN 302",3,"ACERO AL CARBON","ACEITE Y GAS",0.371
CGD0003091,PEP-SUR-CPT-CPB-A07-LDD-L0087,"LDD P BLAS 87-BAT BLAS 3""X0.744 km","LINEA DE DESCARGA",OPERANDO,"POZO BLASILLO 87","BATERIA BLASILLO",3,"ACERO AL CARBON","ACEITE Y GAS",0.744
CGD0015391,PEP-NTE-PRA-FJO-292-LDD-L0018,"LDD P ZAPOTALI 18-K ZAPOTALI 4""x1.172KM","LINEA DE DESCARGA",OPERANDO,"POZO ZAPOTALILLO 18","K REC ZAPOTALILLO",4,"ACERO AL CARBON",POZOLEO,1.172
CGD0019533,PEP-NTE-BUR-RFC-633-LDD-L0021,"LDD RUSCO 21-MRG RUSCO 1 3"" X1.811KM","LINEA DE DESCARGA",OPERANDO,"POZO RUSCO 21","MRG RUSCO 1",3,"FLEXIBLE CON REFUERZO DE FIBRA","DULCE HUMEDO",1.811
CGD0004112,PEP-SUR-CPT-MOG-A47-LDD-L0049,"LDD P SMAG 0049-BAT SMAG 1 3""X0.390 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO S MAGALLANES 0049","BATERIA S MAGALLANES 0001",3,"ACERO AL CARBON",ISTMO,0.39
CGD0004937,PEP-SUR-BLJ-JTE-C78-LDD-L032A,"LDD P PAR 32A-BAT PAR 6""X2.688 km","LINEA DE DESCARGA",OPERANDO,"POZO PAREDON 32A","BATERIA PAREDON",6,"ACERO AL CARBON","ACEITE Y GAS",2.688
CGD0019327,PEP-SDC-GSO-CPL-S6C-OLG-D0380,"OLG TSIMIN-C/TSIMIN-B D0380 24""  X2.30KM",OLEOGASODUCTO,OPERANDO,TSIMIN-C,TSIMIN-B,24,"ACERO AL CARBON","ACEITE Y GAS",2.3
CGD0018576,PEP-NTE-BUR-RFC-586-LDD-L0033,"LDD FUNDADOR33-ERG FUNDADOR1 3"" X2.513KM","LINEA DE DESCARGA",OPERANDO,"FUNDADOR 33","ERG FUNDADOR 1",3,"ACERO AL CARBON","DULCE HUMEDO",2.513
CGD0009393,PEP-NTE-PRA-EPC-004-LDD-LA003,"LDD P AGUILA 3D-BSE 4 AGUILA 4""X1.153 KM","LINEA DE DESCARGA",OPERANDO,"POZO AGUILA 3D","BATERIA 4 AGUILA",4,"ACERO AL CARBON","ACEITE Y GAS",1.153
CGD0014120,PEP-NTE-ATG-SLD-246-LDD-L0105,"LDD P MIQ 105-BSE MIQ I 4"" x1.341KM","LINEA DE DESCARGA",OPERANDO,"POZO MIQUETLA 105","BSE MIQUETLA I",4,"ACERO AL CARBON","ACEITE Y GAS",1.341
CGD0015352,PEP-NTE-PRA-FJO-285-LDD-L0041,"LDD P TEJADA 41-BSE NPROG 4""x0.347KM","LINEA DE DESCARGA",OPERANDO,"POZO TEJADA 41","BSE NUEVO PROGRESO",4,"ACERO AL CARBON","ACEITE Y GAS",0.347
CGD0001779,PEP-SUR-MAC-JCO-C18-GDO-D0035,"GDO COMP JC - CDG JC 6"" X 0.590 km",GASODUCTO,"FUERA DE OPERACION DEFINITIVA","COMP. JOSE COLOMO","CDG JOSE COLOMO",6,"ACERO AL CARBON","GAS DULCE",0.59
CGD0013577,PEP-NTE-PRA-POZ-215-LDD-L0118,"LDD P ESCOL 118-BSE PR XI 4""X1.900KM","LINEA DE DESCARGA",OPERANDO,"POZO ESCOLIN 118","BSE POZA RICA XI",4,"FIBRA DE VIDRIO","ACEITE Y GAS",0.331
CGD0000364,PEP-SDC-GNE-AKB-P32-OLD-D148A,"OLD BMTE-P - INT-D148 D148A 14"" X0.308km",OLEODUCTO,OPERANDO,"BALAM-TE (PERFORACION)","INT D-148 (EK-A / BLM DL3)",14,"ACERO AL CARBON","ACEITE LIGERO",0.308
CGD0010270,PEP-NTE-PRA-FOC-063-LDD-L0031,"LDD P ALAZAN 31-LDD ALAZAN166 4""X0.016KM","LINEA DE DESCARGA",OPERANDO,"POZO ALAZAN 31","INT. LDD POZO ALAZAN 166",4,"ACERO AL CARBON","ACEITE Y GAS",0.016
CGD0002200,PEP-SUR-MUS-CSG-D55-LDD-L1080,"LDD P SIG 80R3-BAT SIG 4""X1.511 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO SITIO GRANDE 80","BATERIA DE SEPARACION SIT GDE.",4,"ACERO AL CARBON","ACEITE Y GAS",1.511
CGD0000718,PEP-SUR-SML-SAM-D54-OLG-D0942,"OLG CAB SAM 22-CAB SAM 2 4""X0.956 km",OLEOGASODUCTO,"FUERA DE OPERACION DEFINITIVA","CABEZAL SAMARIA 22 (G)","CABEZAL SAMARIA II",4,"ACERO AL CARBON","ACEITE Y GAS",0.956
CGD0006563,PEP-NTE-BUR-PBA-507-LDD-L0101,"LDD PE?A BCA101-E.PE?A BCA 1 3""X1.335KM","LINEA DE DESCARGA",OPERANDO,"POZO PE?A BLANCA 101","EST. PE?A BLANCA 1",3,"ACERO AL CARBON","DULCE HUMEDO",1.335
CGD0017480,PEP-NTE-BUR-RFC-602-LDD-L00L6,"LDD ITA 6 - E PIPILA 1 6"" X 4.067 KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO  ITA 6","EST. PIPILA 1",6,"ACERO AL CARBON","DULCE HUMEDO",4.067
CGD0000628,PEP-SUR-MUS-CAS-D11-LDD-L0052,"LDD P GIRALDAS 52-CAB GIR 4""X3.177km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO GIRALDAS 52","CABEZAL GIRALDAS",4,"ACERO AL CARBON","ACEITE Y GAS",3.177
CGD0019350,PEP-NTE-ATG-CYL-205-GDO-D8501,"GDO BSE COYOLII-BSE HUM III 16""x16.179KM",GASODUCTO,OPERANDO,"BSE COYOL II","BSE HUMAPA III",16,"ACERO AL CARBON","DULCE HUMEDO",16.179
CGD0009045,PEP-NTE-BUR-CUE-443-LDD-L1013,"LDD CUERVITO 1013 -E CUERV 1A 3X3.161KM","LINEA DE DESCARGA",OPERANDO,"POZO CUERVITO 1013","EST. CUERVITO 1A",3,"ACERO AL CARBON","DULCE HUMEDO",3.161
CGD0007782,PEP-NTE-BUR-TOR-553-LDD-L0186,"LDD TORRECILLAS 186-E TORR 1 3""X2.841KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO TORRECILLAS 186","EST. TORRECILLAS 1",3,"ACERO AL CARBON",HUMEDO,2.841
CGD0019537,PEP-NTE-BUR-TOR-444-LDD-L0868,"LDD CUITLA 868-ERG CUITLA 4 3"" X2.265KM","LINEA DE DESCARGA",OPERANDO,"POZO CUITLAHUAC 868","ERG CUITLAHUAC 4",3,"FLEXIBLE CON REFUERZO DE FIBRA","DULCE HUMEDO",2.265
CGD0010624,PEP-NTE-PRA-THS-129-LDD-L0170,"LDD P 3HNOS 170-BSE 3HNOS 3 3""X0.775KM","LINEA DE DESCARGA",OPERANDO,"POZO TRES HERMANOS 170","BATERIA TRES HERMANOS NO. 3",3,"ACERO AL CARBON","ACEITE LIGERO",0.775
CGD0002716,PEP-SUR-MAC-JCO-C18-LDD-L0006,"LDD P JC 6- ER JC 2-2A  3"" X 1.806 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO JOSE COLOMO 6","EST. REC. JOSE COLOMO 2-2A",3,"ACERO AL CARBON","DULCE HUMEDO",1.806
CGD0017910,PEP-NTE-BUR-PBA-500-GDO-D0322,"GDO EST PALMITO1-E BENAVID4 12""X15.861KM",GASODUCTO,OPERANDO,"ESTACION PALMITO 1","EST. BENAVIDES 4",12,"ACERO AL CARBON","DULCE HUMEDO",15.861
CGD0013875,PEP-NTE-PRA-FJO-237-LDD-L0065,"LDD P JILIAP 65-BSE JILIAP I 3""x1.325KM","LINEA DE DESCARGA",OPERANDO,"POZO JILIAPA 65","BSE JILIAPA I",3,"ACERO AL CARBON",POZOLEO,1.325
CGD0003265,PEP-SUR-CPT-CPB-A43-LDD-L0085,"LDD P ROD 85-CAB P ROD 197 4""X0.407 km","LINEA DE DESCARGA",OPERANDO,"POZO RODADOR 85","CABEZAL DEL POZO ROD 197",4,"ACERO AL CARBON",ISTMO,0.407
CGD0001514,PEP-SUR-SML-SAM-D54-LDD-L1247,"LDD P SAM 92-CAB PSAM 10BIS 6""X 0.349 km","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 92","CABEZAL POZO SAMARIA 10 BIS",6,"ACERO AL CARBON","ACEITE Y GAS",0.349
CGD0005008,PEP-SUR-BLJ-JTE-C79-OLG-D0345,"OLG CAB TEC 101-BAT TEC 16""X2.458 km",OLEOGASODUCTO,"FUERA DE OPERACION TEMPORAL","CABEZAL PERIFERICO TECOM 101","BATERIA TECOMINOACAN",16,"ACERO AL CARBON","ACEITE Y GAS",2.458
CGD0002614,PEP-SUR-MAC-JCO-C10-LDD-L0014,"LDD P CHILAP 14-ER CHILAP 3"" X1.900 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO CHILAPILLA 14","EST. REC. CHILAPILLA",3,"ACERO AL CARBON","DULCE HUMEDO",1.9
CGD0009478,PEP-NTE-PRA-EPC-004-ACD-D0E6I,"ACD ERA AGUIL 3-ERA AGUIL 5 4""X3.000KM",ACUEDUCTO,"FUERA DE OPERACION DEFINITIVA","ESTACION 3 AGUILA","ESTACION 5 AGUILA",4,"ACERO AL CARBON","AGUA DE SERVICIO",3
CGD0019065,PEP-NTE-BUR-NEJ-603-LDD-L0066,"LDD NEJO 66 - E NEJO 3 3""X2.305KM","LINEA DE DESCARGA",OPERANDO,"POZO NEJO 66","EST. NEJO 3",3,"ACERO AL CARBON","DULCE HUMEDO",2.305
CGD0006541,PEP-NTE-BUR-CUL-445-LDD-L0672,"LDD CULEBRA 672 -E CULEBRA 2 3""X2.300KM","LINEA DE DESCARGA",OPERANDO,"POZO CULEBRA 672","EST. CULEBRA 2",3,"ACERO AL CARBON","DULCE HUMEDO",2.3
CGD0007741,PEP-NTE-BUR-RFC-428-LDD-L0082,"LDD CA?ON 82 - E CA?ON 2 3"" X 4.760  KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO CA?ON 82","EST. CA?ON 2",3,"ACERO AL CARBON","DULCE HUMEDO",4.76
CGD0000376,PEP-SDC-GNE-KUA-P61-OLD-D0110,"OLD KUA - AKJ  D-0110 24""   X 17.534 KM",OLEODUCTO,OPERANDO,"AKAL-J (ENLACE)","KU-A (ENLACE)",24,"ACERO AL CARBON",MAYA,17.534
CGD0017044,PEP-NTE-VER-EPY-735-GDO-DOBE1,"GDO PRG OBERTURA-PRG PAPAN 1 6 x5.070Km",GASODUCTO,OPERANDO,"PRG OBERTURA","PRG PAPAN 1",6,"ACERO AL CARBON","AGUA CONGENITA",5.07
CGD0007128,PEP-NTE-BUR-CUL-445-LDD-L0665,"LDD CULEBRA 665- E CULEBRA 8 2""X0.935KM","LINEA DE DESCARGA",OPERANDO,"POZO CULEBRA 665","EST. CULEBRA 8",2,"ACERO AL CARBON","DULCE HUMEDO",0.935
CGD0018675,PEP-NTE-PRA-TAC-005-LDD-L5725,"LDD PLAT CON 1140(LM)-B 7 CON 4""X1.358KM","LINEA DE DESCARGA",OPERANDO,"PLATAF CONSTITUCIONES 1140(LM)","BATERIA 7 CONSTITUCIONES",4,"ACERO AL CARBON","ACEITE PESADO",1.358
CGD0005838,PEP-NTE-ATG-AGF-214-OLD-D1834,"OLD BSE JAPETO-BSE ANT 6"" x11.180KM",OLEODUCTO,"FUERA DE OPERACION DEFINITIVA","BSE JAPETO","BSE ANTARES",6,"ACERO AL CARBON",ACEITE,11.18
CGD0006776,PEP-NTE-BUR-TOR-437-LDD-L0032,"LDD COMITAS 32 -E COMITAS 1 2"" X 1.188KM","LINEA DE DESCARGA",OPERANDO,"POZO COMITAS 32","EST. COMITAS 1",2,"ACERO AL CARBON","DULCE HUMEDO",1.188
CGD0008342,PEP-NTE-BUR-LMA-560-LDD-L0134,"LDD VELERO 134 - E VELERO 2 3"" X0.801Km","LINEA DE DESCARGA",OPERANDO,"POZO VELERO 134","EST. VELERO 2",3,"ACERO AL CARBON","DULCE SECO",0.801
CGD0019145,PEP-NTE-BUR-CUE-431-LDD-L0150,"LDD CARLOS 150-MD CARLOS 106 3""X4.446KM","LINEA DE DESCARGA",OPERANDO,"POZO CARLOS 150","MOD. CARLOS  106",3,"ACERO AL CARBON",HUMEDO,4.446
CGD0019366,PEP-NTE-BUR-NEJ-603-LDD-L0213,"LDD NEJO 213-MRG NEJO 54 3""  X 1.156 KM","LINEA DE DESCARGA",OPERANDO,"POZO NEJO 213","MRG NEJO 54",3,"ACERO AL CARBON","DULCE HUMEDO",1.156
CGD0005895,PEP-NTE-BUR-TOR-444-GDO-D0301,"GDO E CUITLA 5-EST CUITLA 1 10""X0.400Km",GASODUCTO,OPERANDO,"EST. CUITLAHUAC 5","EST. CUITLAHUAC 1",10,"ACERO AL CARBON","DULCE HUMEDO",0.4
CGD0000102,PEP-SDC-GNE-AKB-P01-OLD-D0219,"OLD AKB-INL24/61 D-0219 36""   X 7.501 KM",OLEODUCTO,"FUERA DE OPERACION TEMPORAL","AKAL-B (ENLACE)","INT D-024 Y L-061",36,"ACERO AL CARBON",MAYA,7.501
CGD0018625,PEP-NTE-PRA-FJO-253-LDD-LS023,"LDD P N PROG 23-BSE N PROG 3""x1.786KM","LINEA DE DESCARGA",OPERANDO,"POZO NUEVO PROGRESO 23","BSE NUEVO PROGRESO",3,"ACERO AL CARBON",POZOLEO,1.786
CGD0008473,PEP-NTE-BUR-RFC-428-LDD-L0115,"LDD CA?ON 115 - I CA?ON 82 3""X 0.935KM","LINEA DE DESCARGA",OPERANDO,"POZO CA?ON 115","INT. CA?ON 82 (E CA?ON 2)",3,"ACERO AL CARBON","DULCE HUMEDO",0.935
CGD0006795,PEP-NTE-BUR-RFC-428-LDD-L0014,"LDD CA?ON 14 - E CA?ON 1 3"" X 3.235  KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO CA?ON 14","EST. CA?ON 1",3,"ACERO AL CARBON","DULCE HUMEDO",3.235
CGD0018016,PEP-NTE-PRA-EPC-008-LDD-L9225,"LDD P EBANO 1044H-EST A-21 4""X0.437 KM","LINEA DE DESCARGA",OPERANDO,"POZO EBANO 1044H","ESTACION A-21",4,"ACERO AL CARBON","ACEITE PESADO",0.437
CGD0015407,PEP-NTE-PRA-POZ-270-GDO-D1739,"GDO BSE PR XIII-BSE PR XI 18""X3.090KM",GASODUCTO,OPERANDO,"BSE POZA RICA XIII","BSE POZA RICA XI",18,"ACERO AL CARBON","GAS AMARGO",3.09
CGD0007163,PEP-NTE-BUR-CUL-445-LDD-L0334,"LDD CULEBRA 334 - E CULEBRA 5 3""X2.656KM","LINEA DE DESCARGA",OPERANDO,"POZO CULEBRA 334","EST. CULEBRA 5",3,"ACERO AL CARBON","DULCE HUMEDO",2.656
CGD0016532,PEP-SUR-CPT-BCN-A16-LDD-L0136,"LDD P PLAN 0136-BAT PLAN SUR 3""X1.600 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO EL PLAN 0136","BATERIA PLAN SUR",3,"ACERO AL CARBON","NO APLICA",1.6
CGD0000133,PEP-SDC-GSO-IYA-S01-GDO-D0244,"GDO INT ABK-PTB1-CHUC-B/CHUC-A 8""X1.2 km",GASODUCTO,OPERANDO,"INT PTB1/CHUC-B",CHUC-A,8,"ACERO AL CARBON","GAS COMBUSTIBLE",1.2
CGD0007288,PEP-NTE-BUR-PBA-507-LDD-L137D,"LDD PBCA 137D-E PE?A BCA 2   2""X0.612 KM","LINEA DE DESCARGA",OPERANDO,"POZO PE?A BLANCA 137DIR","EST. PE?A BLANCA 2",2,"ACERO AL CARBON","DULCE HUMEDO",0.612
CGD0005884,PEP-NTE-BUR-CUL-531-GDO-D0290,"GDO EST RODEO 1-ENT GDO16Y24 8""X3.110KM",GASODUCTO,OPERANDO,"EST. RODEO 1","ENT. GDO. 16""  Y 24""",8,"ACERO AL CARBON","DULCE HUMEDO",3.11
CGD0016127,PEP-NTE-BUR-RFC-598-LDD-LE008,"LDD ECATL 8 - MOD. ECATL 1 4"" X1.536km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO ECATL 8","MOD. ECATL 1 (EST. PIPILA 1)",4,"ACERO AL CARBON","DULCE HUMEDO",1.536
CGD0007555,PEP-NTE-BUR-TOR-444-LDD-L0607,"LDD CUITL 607 -E CUITLAHUAC 3 3""X0.700KM","LINEA DE DESCARGA",OPERANDO,"POZO CUITLAHUAC 607","EST. CUITLAHUAC 3",3,"ACERO AL CARBON","DULCE HUMEDO",0.7
CGD0016149,PEP-NTE-BUR-PBA-416-LDD-L0088,"LDD BENAVIDES 88 -E PRIMAV 2 3""X2.894KM","LINEA DE DESCARGA",OPERANDO,"POZO BENAVIDES 88","EST. PRIMAVERA 2",3,"ACERO AL CARBON","DULCE HUMEDO",2.894
CGD0015354,PEP-NTE-PRA-FJO-285-LDD-L0052,"LDD P TEJADA 52-BSE TEJADA 4""x1.533KM","LINEA DE DESCARGA",OPERANDO,"POZO TEJADA 52","BSE TEJADA",4,"ACERO AL CARBON",POZOLEO,1.533
CGD0009552,PEP-NTE-PRA-EPC-004-LDD-LI078,"LDD P INTER 78-EST 6 INTER 4""X0.483 KM","LINEA DE DESCARGA",OPERANDO,"POZO INTERNACIONAL 78","ESTACION 6 INTERNACIONAL",4,"ACERO AL CARBON","ACEITE PESADO",0.483
CGD0003526,PEP-SUR-CPT-CUM-A30-LDD-L0342,"LDD P MOL 0342-CAB P MOL 108 3""X0.545 km","LINEA DE DESCARGA",OPERANDO,"POZO MOLOACAN 0342","CABEZAL POZO MOLOACAN 108",3,"ACERO AL CARBON","ACEITE Y GAS",0.545
CGD0015915,PEP-NTE-BUR-LMA-503-LDD-L0654,"LDD PANDURA 654-MD CORINDO586 3""X0.585KM","LINEA DE DESCARGA",OPERANDO,"POZO PANDURA 654","MD CORINDON 586(E. CORINDON2)",3,"ACERO AL CARBON","DULCE SECO",0.585
CGD0010176,PEP-NTE-PRA-EPC-014-LDD-LF003,"LDD P FLORES 3T-EST PIEDRAS 4""X2.188 KM","LINEA DE DESCARGA",OPERANDO,"POZO FLORES 3T","ESTACION PIEDRAS",4,"ACERO AL CARBON","ACEITE Y GAS",2.188
CGD0010567,PEP-NTE-PRA-THS-129-LBN-D0214,"LBN THNOS 3 SEC A-P 3HNOS 214 3""X0.098KM","LINEA DE BOMBEO NEUMATICO","FUERA DE OPERACION DEFINITIVA","LBN TRES HERMANOS NO. 3 SEC A","POZO TRES HERMANOS NO. 214",3,"ACERO AL CARBON","GAS AMARGO",0.098
CGD0008087,PEP-NTE-BUR-LMA-560-LDD-L2018,"LDD VELERO 2018-I VELERO 2016 3""X0.599KM","LINEA DE DESCARGA",OPERANDO,"POZO VELERO 2018","INT VELERO 2016 (E VELERO 1)",3,"ACERO AL CARBON","DULCE SECO",0.599
CGD0017121,PEP-NTE-ATG-SLD-084-OLG-DM118,"OLG MP HORC 118-BSE COYO I 6-8"" x6.603KM",OLEOGASODUCTO,OPERANDO,"MACROPERA HORCONES 118","BSE COYOTES I",6,"ACERO AL CARBON","ACEITE PESADO",6.603
CGD0007577,PEP-NTE-BUR-CUL-408-LDD-L0165,"LDD ARCABUZ 165-E RODEO 1 3"" X 1.292 KM","LINEA DE DESCARGA",OPERANDO,"POZO ARCABUZ 165","EST. RODEO 1",3,"ACERO AL CARBON","DULCE SECO",1.292
CGD0018822,PEP-NTE-BUR-RFC-597-LDD-L0020,"LDD DRAGON 20-ERG DRAGON 1 3""X0.407 KM","LINEA DE DESCARGA",OPERANDO,"DRAGON 20","ERG DRAGON 1",3,"ACERO AL CARBON","DULCE HUMEDO",0.407
CGD0002774,PEP-SUR-MAC-JCO-C18-LDD-L0113,"LDD  P JC 113 - ER JC 4  3"" X 0.700 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO JOSE COLOMO 113","EST. REC. JOSE COLOMO 4",3,"ACERO AL CARBON","DULCE HUMEDO",0.7
CGD0008265,PEP-NTE-BUR-CUE-433-LDD-L0531,"LDD CARRETAS 531-I CARRET 519 3""X0.686KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO CARRETAS 531","INT CARRETAS519 (E CARRETAS 2)",3,"ACERO AL CARBON","DULCE HUMEDO",0.686
CGD0002632,PEP-SUR-MAC-JCO-C10-LDD-L0096,"LDD P CHILAP 96-ER CHILAP 3"" X2.542 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO CHILAPILLA 96","EST. REC. CHILAPILLA",3,"ACERO AL CARBON","DULCE HUMEDO",2.542
CGD0008340,PEP-NTE-BUR-LMA-588-LDD-L0036,"LDD  ENLACE 36 - E ENLACE 2 3"" X2.608 KM","LINEA DE DESCARGA",OPERANDO,"POZO ENLACE 36","EST. ENLACE 2",3,"ACERO AL CARBON","DULCE HUMEDO",2.608
CGD0007491,PEP-NTE-BUR-PBA-521-LDD-L0307,"LDD PRIMAV 307-E PRIMAVERA 1  2""X5.160KM","LINEA DE DESCARGA",OPERANDO,"POZO PRIMAVERA 307","EST. PRIMAVERA 1",2,"ACERO AL CARBON","DULCE HUMEDO",5.16
CGD0008261,PEP-NTE-BUR-CUL-562-LDD-L0329,"LDD VIBORITAS 329-E VIBO 2 3"" X 2.574 KM","LINEA DE DESCARGA",OPERANDO,"POZO VIBORITAS 329","EST. VIBORITAS 2",3,"ACERO AL CARBON","DULCE HUMEDO",2.574
CGD0009322,PEP-NTE-BUR-CUL-408-LDD-L0564,"LDD ARCABUZ 564- ARCABUZ 6 3""X2.233KM.","LINEA DE DESCARGA",OPERANDO,"POZO ARCABUZ 564","EST. ARCABUZ 6",3,"ACERO AL CARBON","DULCE SECO",2.233
CGD0008299,PEP-NTE-BUR-RFC-582-LDD-L0004,"LDD ECLIPSE 4 - E CA?ON 2 3"" X 4.300 KM","LINEA DE DESCARGA",OPERANDO,"POZO ECLIPSE 4","EST. CA?ON 2",3,"ACERO AL CARBON","DULCE HUMEDO",4.3
CGD0018831,PEP-NTE-BUR-CUE-539-LDD-L0225,"LDD STA ANITA 225-E CUERVITO1 3""X7.024KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO SANTA ANITA 225","EST. CUERVITO 1",3,"ACERO AL CARBON","DULCE HUMEDO",7.024
CGD0006595,PEP-NTE-BUR-PBA-507-LDD-L0105,"LDD PE?A BCA 105-E PE?A BCA 1 3""X3.015KM","LINEA DE DESCARGA",OPERANDO,"POZO PE?A BLANCA 105","EST. PE?A BLANCA 1",3,"ACERO AL CARBON","DULCE HUMEDO",3.015
CGD0008507,PEP-NTE-ATG-TAJ-282-OLG-D0006,"OLG MP TAJ 376-BSE TAJ III 8"" x1.357KM",OLEOGASODUCTO,OPERANDO,"MP TAJIN 376","BSE TAJIN III",8,"ACERO AL CARBON","ACEITE PESADO",1.357
CGD0007623,PEP-NTE-BUR-CUL-445-LDD-L0349,"LDD CULEBRA 349 -E CULEBRA 5A 3""X1.850KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO CULEBRA 349","EST. CULEBRA 5A",3,"ACERO AL CARBON","DULCE HUMEDO",1.85
CGD0012013,PEP-NTE-BUR-CUL-405-GDO-D1121,"GDO EST ALONDRA2-EST ALONDRA 1 10""X5.0Km",GASODUCTO,"FUERA DE OPERACION DEFINITIVA","EST. ALONDRA 2","EST. ALONDRA 1",10,"ACERO AL CARBON",SECO,5
CGD0001605,PEP-SUR-MUS-CAS-D02-LDD-L0041,"LDD P ARTESA 41-BAT ARTESA 8""X2.368 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO ARTESA 41","BATERIA ARTESA",8,"ACERO AL CARBON","ACEITE Y GAS",2.368
CGD0000174,PEP-SDC-GNE-ZPC-P62-GDO-D0255,"GDO ZPC - MAA D255 20""  X 3.984KM",GASODUCTO,OPERANDO,"ZAAP-C (PERFORACION)","MALOOB-A (PERFORACION)",20,"ACERO AL CARBON","BOMBEO NEUMATICO",3.984
CGD0006407,PEP-NTE-BUR-RFC-486-LDD-L0066,"LDD MISION 66 - E MISION 1A 3"" X7.328 KM","LINEA DE DESCARGA",OPERANDO,"POZO MISION 66","EST. MISION 1A",3,"ACERO AL CARBON","DULCE HUMEDO",7.328
CGD0007756,PEP-NTE-BUR-TOR-553-LDD-L0034,"LDD TORR 34-E  TORRECILLAS 1 3""X2.823 KM","LINEA DE DESCARGA",OPERANDO,"POZO TORRECILLAS 34","EST. TORRECILLAS 1",3,"ACERO AL CARBON","DULCE HUMEDO",2.823
CGD0016111,PEP-NTE-BUR-CUL-424-LDD-L0144,"LDD CALABAZA 144 -E CALABAZA3 3""X5.587KM","LINEA DE DESCARGA",OPERANDO,"POZO CALABAZA 144","EST. CALABAZA 3",3,"ACERO AL CARBON","DULCE SECO",5.587
CGD0016070,PEP-NTE-VER-ESP-733-OLG-D0003,"OLG PRA PERDIZ 3-BSE PERDIZ 10 x0.186Km",OLEOGASODUCTO,OPERANDO,"PRA PERDIZ 3","BSE PERDIZ",10,"ACERO AL CARBON","ACEITE Y GAS",0.186
CGD0018635,PEP-NTE-PRA-SNA-272-LDD-L0066,"LDD P REMOLINO 66-BSE SA II 4""x0.688KM","LINEA DE DESCARGA",OPERANDO,"POZO REMOLINO 66","BSE SAN ANDRES II",4,"ACERO AL CARBON",POZOLEO,0.688
CGD0016191,PEP-SUR-SML-CUN-D46-LBN-D1044,"LBN TDE CUN 13-TDR BAT IRIDE 8""X2.001 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"TDE CUNDUACAN 13","TDR BATERIA IRIDE",8,"ACERO AL CARBON",SECO,2.001
CGD0012866,PEP-NTE-BUR-RFC-488-LDD-L0501,"LDD MTY 501 - E REYNOSA 1  3"" X 1.459 KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO MONTERREY 501","EST. REYNOSA 1",3,"ACERO AL CARBON","DULCE HUMEDO",1.459
